Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGARIA CARLOS LUZ LTDA;PADRE EUSTAQUIO;CARLOS PRATES;Belo Horizonte;MG;-19,9134595;-43,9672722;PADRE EUSTAQUIO, CARLOS PRATES, Belo Horizonte, MG, Brasil
DROGARIA CATIZANI LTDA - ME;RUA PAULO ALVES DA SILVA 539 Loja;MANTIQUEIRA;Belo Horizonte;MG;-19,7928705;-43,9833316;RUA PAULO ALVES DA SILVA 539 Loja, MANTIQUEIRA, Belo Horizonte, MG, Brasil
DROGARIA COLIBRI LTDA ME;VINTE E OITO DE SETEMBRO;ESPLANADA;Belo Horizonte;MG;-19,9054992;-43,9042678;VINTE E OITO DE SETEMBRO, ESPLANADA, Belo Horizonte, MG, Brasil
DROGARIA CONECT LTDA - ME;DO CONTORNO;FLORESTA;Belo Horizonte;MG;-19,9134329;-43,9295357;DO CONTORNO, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA COOPFARMA LTDA - ME;PROFESSORA GABRIELA VARELA;FLORAMAR;Belo Horizonte;MG;-19,8288016;-43,9322124;PROFESSORA GABRIELA VARELA, FLORAMAR, Belo Horizonte, MG, Brasil
DROGARIA CORDEIRO LTDA;GABRIELA VARELO;FLORAMAR;Belo Horizonte;MG;-19,8371027;-43,9348625;GABRIELA VARELO, FLORAMAR, Belo Horizonte, MG, Brasil
DROGARIA CRUZ LTDA-ME;LUPERCIO PAIXAO;TIROL (BARREIRO);Belo Horizonte;MG;-19,9951468;-44,0451401;LUPERCIO PAIXAO, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA DA PAZ LTDA;FLOR-DE-SEDA;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9812291;-44,0441997;FLOR-DE-SEDA, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA DAL-COL & CUNHA LTDA - ME;SENADOR LEVINDO COELHO;PETROPOLIS (BARREIRO);Belo Horizonte;MG;-20,0115152;-44,033157;SENADOR LEVINDO COELHO, PETROPOLIS (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA DARLENE LTDA;PERIMETRAL;VILA FORMOSA VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;;;PERIMETRAL, VILA FORMOSA VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA DAS AMERICAS LTDA;MARIA;SANTA MARIA;Belo Horizonte;MG;-19,9352156;-44,0129035;MARIA, SANTA MARIA, Belo Horizonte, MG, Brasil
DROGARIA DECAM LTDA;DOS GUAJAJARAS;BOA VIAGEM;Belo Horizonte;MG;-19,9264648;-43,9353538;DOS GUAJAJARAS, BOA VIAGEM, Belo Horizonte, MG, Brasil
DROGARIA DECAM LTDA;GAVEA;JARDIM AMERICA;Belo Horizonte;MG;-19,9388489;-43,9752421;GAVEA, JARDIM AMERICA, Belo Horizonte, MG, Brasil
DROGARIA DETA LTDA;RUA DOM OSCAR ROMERO, 100 - LJ A;NOVA GAMELEIRA;Belo Horizonte;MG;-19,9377419;-43,9910858;RUA DOM OSCAR ROMERO, 100 - LJ A, NOVA GAMELEIRA, Belo Horizonte, MG, Brasil
DROGARIA DJALMA LTDA ME;EXPEDICIONARIO JOSE SILVA;MARIA GORETTI;Belo Horizonte;MG;-19,8633254;-43,9080103;EXPEDICIONARIO JOSE SILVA, MARIA GORETTI, Belo Horizonte, MG, Brasil
DROGARIA DO GERSON LTDA;BARAO DO MONTE ALTO;CARDOSO (BARREIRO);Belo Horizonte;MG;-20,0026357;-44,0073804;BARAO DO MONTE ALTO, CARDOSO (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA DO LEO LTDA;PADRE TIAGO DE ALMEIDA;CAMARGOS;Belo Horizonte;MG;-19,9390626;-44,0233368;PADRE TIAGO DE ALMEIDA, CAMARGOS, Belo Horizonte, MG, Brasil
DROGARIA DO MARCIANO LTDA - ME;DESEMBARGADOR BRAULIO;VERA CRUZ;Belo Horizonte;MG;-19,9046261;-43,8915653;DESEMBARGADOR BRAULIO, VERA CRUZ, Belo Horizonte, MG, Brasil
DROGARIA DOLCE VITA LTDA;VICENTE RISOLA;SANTA INES;Belo Horizonte;MG;-19,8899984;-43,9086241;VICENTE RISOLA, SANTA INES, Belo Horizonte, MG, Brasil
DROGARIA DROGATON LTDA. - ME;DO SERTAO;VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;-20,0071507;-44,0384688;DO SERTAO, VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA E FARMACIA LOGOS LTDA;PITOMBA;ARAGUAIA;Belo Horizonte;MG;-19,9851063;-43,9971099;PITOMBA, ARAGUAIA, Belo Horizonte, MG, Brasil
